home,away,ft
Sporting Kansas City,FC Dallas,"[3, 2]"
Colorado Rapids,St. Louis City,"[4, 1]"
Los Angeles Galaxy,Minnesota United FC,"[2, 1]"
Portland Timbers,Nashville SC,"[4, 1]"
Toronto FC,Philadelphia Union,"[2, 1]"
New England Revolution,Orlando City SC,"[1, 3]"
CF Montreal,Atlanta United FC,"[1, 0]"
DC United,Nashville SC,"[2, 1]"
FC Cincinnati,Charlotte,"[1, 3]"
FC Dallas,Los Angeles Galaxy,"[2, 0]"
Houston Dynamo,Minnesota United FC,"[1, 1]"
Chicago Fire,New York City FC,"[0, 0]"
Austin,Seattle Sounders,"[0, 1]"
St. Louis City,Vancouver Whitecaps,"[1, 4]"
Colorado Rapids,New York Red Bulls,"[1, 1]"
Portland Timbers,Real Salt Lake,"[3, 0]"
San Jose Earthquakes,Sporting Kansas City,"[1, 2]"
Los Angeles FC,Columbus Crew,"[1, 5]"
Philadelphia Union,New England Revolution,"[5, 1]"
New York Red Bulls,CF Montreal,"[2, 2]"
Atlanta United FC,New York City FC,"[2, 2]"
Columbus Crew,Charlotte,"[1, 1]"
FC Cincinnati,Chicago Fire,"[0, 1]"
Inter Miami,Toronto FC,"[3, 1]"
FC Dallas,Austin,"[3, 1]"
Minnesota United FC,DC United,"[2, 3]"
Nashville SC,Orlando City SC,"[0, 3]"
Seattle Sounders,St. Louis City,"[2, 0]"
San Jose Earthquakes,Houston Dynamo,"[0, 1]"
Vancouver Whitecaps,Sporting Kansas City,"[2, 1]"
Los Angeles Galaxy,Colorado Rapids,"[3, 2]"
Los Angeles FC,Real Salt Lake,"[1, 1]"
Orlando City SC,New York City FC,"[1, 1]"
Philadelphia Union,Nashville SC,"[3, 0]"
New York Red Bulls,FC Cincinnati,"[3, 1]"
Atlanta United FC,Columbus Crew,"[2, 1]"
New England Revolution,FC Dallas,"[1, 1]"
CF Montreal,Toronto FC,"[0, 1]"
Inter Miami,Chicago Fire,"[2, 1]"
Sporting Kansas City,St. Louis City,"[1, 1]"
Minnesota United FC,San Jose Earthquakes,"[2, 0]"
Austin,Charlotte,"[2, 2]"
Colorado Rapids,Real Salt Lake,"[3, 2]"
Seattle Sounders,Los Angeles FC,"[0, 3]"
Vancouver Whitecaps,Houston Dynamo,"[3, 4]"
Los Angeles Galaxy,Portland Timbers,"[3, 2]"
Minnesota United FC,Seattle Sounders,"[2, 3]"
New York City FC,Chicago Fire,"[2, 2]"
CF Montreal,New England Revolution,"[0, 5]"
DC United,FC Dallas,"[3, 4]"
Inter Miami,FC Cincinnati,"[2, 0]"
Charlotte,New York Red Bulls,"[1, 1]"
Houston Dynamo,Toronto FC,"[0, 1]"
Sporting Kansas City,Orlando City SC,"[3, 0]"
Nashville SC,Austin,"[0, 2]"
Real Salt Lake,San Jose Earthquakes,"[0, 2]"
Los Angeles Galaxy,Atlanta United FC,"[2, 0]"
Portland Timbers,St. Louis City,"[4, 4]"
Philadelphia Union,Columbus Crew,"[0, 1]"
Orlando City SC,Nashville SC,"[3, 0]"
