home,away,ft
Florida Panthers,Washington Capitals,"[1, 4]"
New Jersey Devils,Nashville Predators,"[5, 2]"
New York Rangers,St. Louis Blues,"[2, 5]"
Tampa Bay Lightning,Colorado Avalanche,"[8, 2]"
New York Islanders,Detroit Red Wings,"[2, 4]"
Ottawa Senators,Calgary Flames,"[4, 3]"
Minnesota Wild,Winnipeg Jets,"[1, 4]"
Anaheim Ducks,Seattle Kraken,"[2, 3]"
San Jose Sharks,Los Angeles Kings,"[7, 2]"
Boston Bruins,Vancouver Canucks,"[0, 2]"
Buffalo Sabres,Minnesota Wild,"[0, 1]"
Carolina Hurricanes,New York Rangers,"[4, 3]"
New Jersey Devils,St. Louis Blues,"[0, 3]"
New York Islanders,Boston Bruins,"[3, 6]"
Pittsburgh Penguins,Vancouver Canucks,"[5, 4]"
Tampa Bay Lightning,Washington Capitals,"[4, 5]"
Florida Panthers,Toronto Maple Leafs,"[5, 1]"
Chicago Blackhawks,Dallas Stars,"[6, 2]"
Los Angeles Kings,Winnipeg Jets,"[4, 1]"
Seattle Kraken,Anaheim Ducks,"[2, 5]"
San Jose Sharks,Ottawa Senators,"[3, 4]"
Philadelphia Flyers,New York Rangers,"[3, 1]"
Minnesota Wild,Chicago Blackhawks,"[3, 2]"
Carolina Hurricanes,Florida Panthers,"[3, 6]"
Detroit Red Wings,New Jersey Devils,"[4, 5]"
Columbus Blue Jackets,Calgary Flames,"[5, 2]"
Anaheim Ducks,Los Angeles Kings,"[1, 2]"
San Jose Sharks,Seattle Kraken,"[8, 5]"
Boston Bruins,Pittsburgh Penguins,"[1, 2]"
Vegas Golden Knights,Winnipeg Jets,"[4, 3]"
Dallas Stars,Colorado Avalanche,"[5, 3]"
New York Rangers,Montreal Canadiens,"[4, 3]"
Florida Panthers,Carolina Hurricanes,"[6, 0]"
Los Angeles Kings,Ottawa Senators,"[5, 2]"
New Jersey Devils,Washington Capitals,"[5, 6]"
Pittsburgh Penguins,Calgary Flames,"[6, 2]"
Tampa Bay Lightning,Toronto Maple Leafs,"[3, 5]"
New York Islanders,Buffalo Sabres,"[3, 0]"
Vegas Golden Knights,Utah Mammoth,"[0, 6]"
Seattle Kraken,San Jose Sharks,"[2, 4]"
Colorado Avalanche,Edmonton Oilers,"[1, 4]"
Boston Bruins,Montreal Canadiens,"[6, 3]"
Chicago Blackhawks,Columbus Blue Jackets,"[3, 6]"
Dallas Stars,Winnipeg Jets,"[3, 1]"
New York Rangers,New Jersey Devils,"[1, 5]"
Toronto Maple Leafs,Chicago Blackhawks,"[4, 1]"
Utah Mammoth,Dallas Stars,"[1, 2]"
Carolina Hurricanes,Seattle Kraken,"[2, 4]"
Buffalo Sabres,Colorado Avalanche,"[4, 5]"
Winnipeg Jets,St. Louis Blues,"[1, 4]"
Calgary Flames,Columbus Blue Jackets,"[3, 0]"
Vegas Golden Knights,Edmonton Oilers,"[1, 0]"
Chicago Blackhawks,Boston Bruins,"[2, 4]"
Toronto Maple Leafs,Nashville Predators,"[3, 2]"
Los Angeles Kings,Dallas Stars,"[3, 2]"
Anaheim Ducks,Vegas Golden Knights,"[1, 4]"
Carolina Hurricanes,Colorado Avalanche,"[5, 3]"
Montreal Canadiens,Nashville Predators,"[3, 0]"
Ottawa Senators,Detroit Red Wings,"[2, 1]"
Philadelphia Flyers,Florida Panthers,"[5, 7]"
Tampa Bay Lightning,San Jose Sharks,"[8, 1]"
New York Islanders,Seattle Kraken,"[2, 5]"
Edmonton Oilers,Columbus Blue Jackets,"[6, 3]"
New Jersey Devils,Seattle Kraken,"[3, 2]"
Toronto Maple Leafs,Washington Capitals,"[1, 3]"
New York Rangers,Pittsburgh Penguins,"[4, 2]"
Anaheim Ducks,Minnesota Wild,"[1, 5]"
Vancouver Canucks,Columbus Blue Jackets,"[5, 2]"
Vegas Golden Knights,Dallas Stars,"[3, 2]"
Buffalo Sabres,Utah Mammoth,"[2, 5]"
Chicago Blackhawks,Winnipeg Jets,"[2, 4]"
New York Islanders,Carolina Hurricanes,"[4, 3]"
