home,away,ft
Estrela,FC Porto,"[2, 0]"
Moreirense,Nacional,"[1, 1]"
Benfica,AVS,"[6, 0]"
Guimaraes,Rio Ave,"[3, 0]"
Boavista,Sporting CP,"[0, 5]"
Casa Pia,Estoril,"[1, 3]"
FC Porto,Moreirense,"[3, 1]"
Nacional,Guimaraes,"[1, 2]"
Farense,Famalicao,"[2, 1]"
SC Braga,Santa Clara,"[1, 1]"
Estoril,Benfica,"[1, 2]"
Arouca,Casa Pia,"[0, 0]"
Sporting CP,GIL Vicente,"[2, 1]"
Rio Ave,Estrela,"[2, 0]"
AVS,Boavista,"[1, 2]"
Nacional,Rio Ave,"[3, 3]"
Santa Clara,Famalicao,"[2, 1]"
Benfica,Sporting CP,"[1, 1]"
GIL Vicente,Arouca,"[1, 1]"
Casa Pia,SC Braga,"[2, 1]"
Estrela,AVS,"[0, 1]"
Moreirense,Estoril,"[2, 2]"
Guimaraes,Farense,"[1, 2]"
Boavista,FC Porto,"[1, 2]"
Rio Ave,GIL Vicente,"[1, 1]"
Famalicao,Casa Pia,"[2, 1]"
FC Porto,Nacional,"[3, 0]"
SC Braga,Benfica,"[1, 1]"
Sporting CP,Guimaraes,"[2, 0]"
Estoril,Estrela,"[4, 0]"
Farense,Santa Clara,"[1, 2]"
Arouca,Boavista,"[4, 1]"
AVS,Moreirense,"[0, 3]"
AVS,Vizela,"[3, 0]"
Vizela,AVS,"[2, 2]"
