home,away,ft
Racing Club,Platense,"[1, 1]"
Lanus,Gimnasia L.P.,"[0, 0]"
Tigre,Independiente,"[1, 1]"
Rosario Central,Velez Sarsfield,"[3, 0]"
Union Santa Fe,Central Cordoba de Santiago,"[0, 2]"
Huracan,Sarmiento Junin,"[3, 1]"
Velez Sarsfield,Racing Club,"[1, 0]"
Gimnasia L.P.,Godoy Cruz,"[0, 1]"
Newells Old Boys,Lanus,"[2, 1]"
Instituto Cordoba,San Lorenzo,"[2, 0]"
Independiente,Deportivo Riestra,"[3, 1]"
Talleres Cordoba,Belgrano Cordoba,"[0, 0]"
Platense,River Plate,"[0, 0]"
Boca Juniors,Argentinos JRS,"[1, 0]"
Barracas Central,Independ. Rivadavia,"[1, 1]"
Banfield,Estudiantes L.P.,"[1, 2]"
Defensa Y Justicia,Rosario Central,"[2, 1]"
Atletico Tucuman,Tigre,"[1, 2]"
Godoy Cruz,San Lorenzo,"[1, 1]"
Deportivo Riestra,Atletico Tucuman,"[2, 0]"
Sarmiento Junin,Gimnasia L.P.,"[1, 1]"
Central Cordoba de Santiago,Independ. Rivadavia,"[2, 0]"
Lanus,Independiente,"[0, 2]"
River Plate,Velez Sarsfield,"[1, 1]"
Racing Club,Defensa Y Justicia,"[4, 3]"
Belgrano Cordoba,Platense,"[0, 1]"
Tigre,Boca Juniors,"[3, 0]"
Union Santa Fe,Huracan,"[0, 1]"
Argentinos JRS,Talleres Cordoba,"[3, 0]"
Rosario Central,Banfield,"[1, 1]"
Estudiantes L.P.,Instituto Cordoba,"[3, 2]"
Godoy Cruz,Newells Old Boys,"[2, 0]"
San Lorenzo,Barracas Central,"[1, 0]"
Barracas Central,Estudiantes L.P.,"[1, 1]"
Defensa Y Justicia,River Plate,"[0, 0]"
Newells Old Boys,Sarmiento Junin,"[1, 1]"
Instituto Cordoba,Rosario Central,"[0, 0]"
Independiente,Godoy Cruz,"[1, 1]"
Velez Sarsfield,Belgrano Cordoba,"[1, 1]"
Independ. Rivadavia,San Lorenzo,"[1, 0]"
Platense,Argentinos JRS,"[2, 1]"
Banfield,Racing Club,"[2, 1]"
Boca Juniors,Deportivo Riestra,"[1, 1]"
Atletico Tucuman,Lanus,"[1, 0]"
Talleres Cordoba,Tigre,"[1, 1]"
Gimnasia L.P.,Union Santa Fe,"[2, 3]"
Huracan,Central Cordoba de Santiago,"[0, 0]"
Estudiantes L.P.,Independ. Rivadavia,"[1, 1]"
Sarmiento Junin,Independiente,"[0, 0]"
Rosario Central,Barracas Central,"[0, 1]"
Godoy Cruz,Atletico Tucuman,"[1, 1]"
Central Cordoba de Santiago,San Lorenzo,"[0, 1]"
Huracan,Gimnasia L.P.,"[0, 0]"
Union Santa Fe,Newells Old Boys,"[2, 0]"
Argentinos JRS,Velez Sarsfield,"[1, 1]"
Deportivo Riestra,Talleres Cordoba,"[0, 0]"
