home,away,ft
Des Moines Buccaneers,Sioux Falls Stampede,"[4, 3]"
Madison Capitols,USA U18,"[2, 6]"
Sioux City,Tri-City Storm,"[2, 4]"
Fargo Force,Lincoln Stars,"[2, 7]"
Chicago Steel,Dubuque Fighting Saints,"[3, 8]"
Youngstown Phantoms,Green Bay Gamblers,"[3, 4]"
Muskegon Lumberjacks,Cedar Rapids,"[2, 1]"
Des Moines Buccaneers,Tri-City Storm,"[2, 3]"
USA U18,Omaha Lancers,"[6, 3]"
Sioux Falls Stampede,Sioux City,"[5, 3]"
Waterloo Black Hawks,Madison Capitols,"[2, 5]"
Dubuque Fighting Saints,Chicago Steel,"[7, 2]"
Des Moines Buccaneers,Tri-City Storm,"[2, 4]"
Youngstown Phantoms,Madison Capitols,"[5, 2]"
Youngstown Phantoms,Madison Capitols,"[4, 1]"
Lincoln Stars,Sioux City,"[3, 4]"
Youngstown Phantoms,Madison Capitols,"[0, 1]"
Tri-City Storm,Waterloo Black Hawks,"[1, 5]"
Sioux City,Lincoln Stars,"[2, 7]"
Green Bay Gamblers,USA U18,"[1, 3]"
Chicago Steel,Fargo Force,"[3, 7]"
Green Bay Gamblers,USA U18,"[3, 6]"
Sioux City,Sioux Falls Stampede,"[1, 2]"
Chicago Steel,Dubuque Fighting Saints,"[2, 3]"
Omaha Lancers,Sioux Falls Stampede,"[3, 6]"
Tri-City Storm,Omaha Lancers,"[7, 1]"
USA U18,Madison Capitols,"[5, 4]"
Chicago Steel,Waterloo Black Hawks,"[1, 5]"
Dubuque Fighting Saints,Des Moines Buccaneers,"[5, 3]"
Fargo Force,Muskegon Lumberjacks,"[1, 4]"
Omaha Lancers,Lincoln Stars,"[2, 3]"
Sioux Falls Stampede,Youngstown Phantoms,"[0, 5]"
Tri-City Storm,Cedar Rapids,"[2, 6]"
USA U18,Madison Capitols,"[2, 5]"
Fargo Force,Muskegon Lumberjacks,"[2, 6]"
Lincoln Stars,Cedar Rapids,"[6, 4]"
Sioux City,Omaha Lancers,"[5, 1]"
Sioux Falls Stampede,Youngstown Phantoms,"[3, 2]"
Waterloo Black Hawks,Dubuque Fighting Saints,"[1, 2]"
USA U18,Madison Capitols,"[2, 5]"
Omaha Lancers,Sioux City,"[3, 5]"
