home,away,ft
Iowa Cubs,Columbus Clippers,"[4, 6]"
Buffalo Bisons,Worcester,"[6, 4]"
Toledo Mud Hens,St. Paul,"[5, 1]"
Scranton/WB,Rochester Red Wings,"[14, 12]"
Louisville Bats,Indianapolis Indians,"[6, 9]"
Durham Bulls,Nashville Sounds,"[2, 3]"
Lehigh Valley IronPigs,Syracuse Mets,"[2, 9]"
Gwinnett Stripers,Charlotte Knights,"[2, 1]"
Omaha Storm Chasers,Jacksonville Jumbo Shrimp,"[6, 5]"
Memphis Redbirds,Norfolk Tides,"[4, 12]"
Buffalo Bisons,Worcester,"[12, 7]"
Durham Bulls,Nashville Sounds,"[1, 7]"
Toledo Mud Hens,St. Paul,"[1, 3]"
Gwinnett Stripers,Charlotte Knights,"[4, 2]"
Lehigh Valley IronPigs,Syracuse Mets,"[3, 8]"
Louisville Bats,Indianapolis Indians,"[3, 0]"
Omaha Storm Chasers,Jacksonville Jumbo Shrimp,"[6, 4]"
Iowa Cubs,Columbus Clippers,"[11, 9]"
Buffalo Bisons,Worcester,"[1, 4]"
Scranton/WB,Rochester Red Wings,"[3, 15]"
Scranton/WB,Rochester Red Wings,"[5, 3]"
Memphis Redbirds,Norfolk Tides,"[3, 2]"
Toledo Mud Hens,St. Paul,"[1, 0]"
Gwinnett Stripers,Charlotte Knights,"[2, 6]"
Lehigh Valley IronPigs,Syracuse Mets,"[3, 2]"
Durham Bulls,Nashville Sounds,"[10, 3]"
Iowa Cubs,Columbus Clippers,"[5, 3]"
Louisville Bats,Indianapolis Indians,"[6, 5]"
Omaha Storm Chasers,Jacksonville Jumbo Shrimp,"[1, 0]"
Scranton/WB,Rochester Red Wings,"[6, 4]"
Louisville Bats,Indianapolis Indians,"[7, 1]"
Gwinnett Stripers,Charlotte Knights,"[6, 4]"
Durham Bulls,Nashville Sounds,"[8, 7]"
Buffalo Bisons,Worcester,"[5, 0]"
Lehigh Valley IronPigs,Syracuse Mets,"[0, 6]"
Memphis Redbirds,Norfolk Tides,"[5, 8]"
Toledo Mud Hens,St. Paul,"[4, 5]"
Iowa Cubs,Columbus Clippers,"[6, 9]"
Omaha Storm Chasers,Jacksonville Jumbo Shrimp,"[6, 5]"
St. Paul,Omaha Storm Chasers,"[13, 7]"
Rochester Red Wings,Buffalo Bisons,"[7, 5]"
Worcester,Scranton/WB,"[8, 4]"
Syracuse Mets,Iowa Cubs,"[8, 7]"
Memphis Redbirds,Gwinnett Stripers,"[6, 1]"
Charlotte Knights,Durham Bulls,"[12, 11]"
Jacksonville Jumbo Shrimp,Nashville Sounds,"[2, 12]"
Columbus Clippers,Louisville Bats,"[4, 11]"
Gwinnett Stripers,Memphis Redbirds,"[1, 0]"
Syracuse Mets,Iowa Cubs,"[4, 3]"
Worcester,Scranton/WB,"[0, 1]"
Jacksonville Jumbo Shrimp,Nashville Sounds,"[3, 5]"
Memphis Redbirds,Gwinnett Stripers,"[10, 3]"
Norfolk Tides,Lehigh Valley IronPigs,"[3, 4]"
Rochester Red Wings,Buffalo Bisons,"[3, 14]"
Norfolk Tides,Lehigh Valley IronPigs,"[3, 5]"
St. Paul,Omaha Storm Chasers,"[0, 6]"
Indianapolis Indians,Toledo Mud Hens,"[6, 8]"
Memphis Redbirds,Gwinnett Stripers,"[2, 4]"
Norfolk Tides,Lehigh Valley IronPigs,"[6, 8]"
Columbus Clippers,Louisville Bats,"[9, 3]"
Indianapolis Indians,Toledo Mud Hens,"[5, 3]"
Columbus Clippers,Louisville Bats,"[2, 6]"
Charlotte Knights,Durham Bulls,"[3, 4]"
Rochester Red Wings,Buffalo Bisons,"[6, 2]"
Worcester,Scranton/WB,"[13, 12]"
Syracuse Mets,Iowa Cubs,"[4, 10]"
Charlotte Knights,Durham Bulls,"[5, 2]"
Jacksonville Jumbo Shrimp,Nashville Sounds,"[2, 5]"
St. Paul,Omaha Storm Chasers,"[8, 9]"
Worcester,Scranton/WB,"[9, 8]"
Norfolk Tides,Lehigh Valley IronPigs,"[4, 0]"
Syracuse Mets,Iowa Cubs,"[12, 5]"
Charlotte Knights,Durham Bulls,"[5, 10]"
Indianapolis Indians,Toledo Mud Hens,"[3, 8]"
Columbus Clippers,Louisville Bats,"[4, 7]"
Jacksonville Jumbo Shrimp,Nashville Sounds,"[3, 4]"
Memphis Redbirds,Gwinnett Stripers,"[10, 3]"
St. Paul,Omaha Storm Chasers,"[4, 2]"
St. Paul,Omaha Storm Chasers,"[2, 4]"
Rochester Red Wings,Buffalo Bisons,"[2, 4]"
Rochester Red Wings,Buffalo Bisons,"[2, 1]"
Charlotte Knights,Durham Bulls,"[5, 3]"
Norfolk Tides,Lehigh Valley IronPigs,"[13, 11]"
Syracuse Mets,Iowa Cubs,"[8, 7]"
Jacksonville Jumbo Shrimp,Nashville Sounds,"[10, 0]"
Indianapolis Indians,Toledo Mud Hens,"[16, 10]"
Columbus Clippers,Louisville Bats,"[5, 2]"
Memphis Redbirds,Gwinnett Stripers,"[6, 1]"
Indianapolis Indians,Toledo Mud Hens,"[1, 10]"
Worcester,Scranton/WB,"[3, 6]"
Syracuse Mets,Iowa Cubs,"[5, 3]"
Rochester Red Wings,Buffalo Bisons,"[5, 4]"
Norfolk Tides,Lehigh Valley IronPigs,"[5, 3]"
Columbus Clippers,Louisville Bats,"[3, 6]"
Charlotte Knights,Durham Bulls,"[8, 0]"
Memphis Redbirds,Gwinnett Stripers,"[7, 6]"
Jacksonville Jumbo Shrimp,Nashville Sounds,"[7, 3]"
Indianapolis Indians,Toledo Mud Hens,"[5, 4]"
Worcester,Scranton/WB,"[3, 1]"
St. Paul,Omaha Storm Chasers,"[2, 11]"
Lehigh Valley IronPigs,Rochester Red Wings,"[1, 4]"
Rochester Red Wings,Lehigh Valley IronPigs,"[3, 16]"
Worcester,Norfolk Tides,"[20, 4]"
Scranton/WB,Syracuse Mets,"[1, 12]"
Buffalo Bisons,St. Paul,"[1, 3]"
Louisville Bats,Toledo Mud Hens,"[7, 5]"
Durham Bulls,Memphis Redbirds,"[1, 0]"
Gwinnett Stripers,Jacksonville Jumbo Shrimp,"[4, 3]"
Omaha Storm Chasers,Columbus Clippers,"[7, 8]"
Nashville Sounds,Charlotte Knights,"[10, 3]"
Iowa Cubs,Indianapolis Indians,"[6, 18]"
Scranton/WB,Syracuse Mets,"[12, 10]"
Iowa Cubs,Indianapolis Indians,"[8, 7]"
Worcester,Norfolk Tides,"[4, 5]"
Durham Bulls,Memphis Redbirds,"[2, 6]"
Lehigh Valley IronPigs,Rochester Red Wings,"[5, 10]"
Gwinnett Stripers,Jacksonville Jumbo Shrimp,"[3, 0]"
