home,away,ft
Samsung Lions,Kiwoom Heroes,"[3, 4]"
SSG Landers,LG Twins,"[5, 7]"
Samsung Lions,Kiwoom Heroes,"[5, 11]"
SSG Landers,LG Twins,"[4, 13]"
NC Dinos,KIA Tigers,"[3, 6]"
Hanwha Eagles,Lotte Giants,"[3, 0]"
Doosan Bears,KT Wiz Suwon,"[12, 6]"
Doosan Bears,KT Wiz Suwon,"[6, 1]"
Hanwha Eagles,Lotte Giants,"[15, 0]"
NC Dinos,KIA Tigers,"[2, 11]"
Samsung Lions,Kiwoom Heroes,"[4, 2]"
SSG Landers,LG Twins,"[8, 2]"
Doosan Bears,LG Twins,"[3, 6]"
KIA Tigers,KT Wiz Suwon,"[5, 8]"
Kiwoom Heroes,SSG Landers,"[2, 4]"
Lotte Giants,NC Dinos,"[13, 5]"
Samsung Lions,Hanwha Eagles,"[8, 6]"
Samsung Lions,Hanwha Eagles,"[6, 4]"
Lotte Giants,NC Dinos,"[2, 4]"
Kiwoom Heroes,SSG Landers,"[0, 9]"
KIA Tigers,KT Wiz Suwon,"[4, 2]"
Doosan Bears,LG Twins,"[5, 8]"
Kiwoom Heroes,SSG Landers,"[2, 6]"
Doosan Bears,LG Twins,"[1, 9]"
KIA Tigers,KT Wiz Suwon,"[3, 11]"
Lotte Giants,NC Dinos,"[13, 4]"
Samsung Lions,Hanwha Eagles,"[1, 0]"
KIA Tigers,Lotte Giants,"[0, 6]"
KT Wiz Suwon,Hanwha Eagles,"[2, 8]"
LG Twins,Kiwoom Heroes,"[3, 11]"
NC Dinos,Doosan Bears,"[1, 4]"
SSG Landers,Samsung Lions,"[1, 3]"
KIA Tigers,Lotte Giants,"[3, 9]"
KT Wiz Suwon,Hanwha Eagles,"[2, 12]"
LG Twins,Kiwoom Heroes,"[4, 2]"
NC Dinos,Doosan Bears,"[3, 4]"
SSG Landers,Samsung Lions,"[7, 3]"
SSG Landers,Samsung Lions,"[4, 0]"
KIA Tigers,Lotte Giants,"[5, 4]"
NC Dinos,Doosan Bears,"[4, 8]"
LG Twins,Kiwoom Heroes,"[8, 4]"
KT Wiz Suwon,Hanwha Eagles,"[0, 6]"
Doosan Bears,KIA Tigers,"[6, 5]"
Hanwha Eagles,NC Dinos,"[2, 6]"
Kiwoom Heroes,Samsung Lions,"[7, 5]"
KT Wiz Suwon,LG Twins,"[7, 8]"
Lotte Giants,SSG Landers,"[11, 7]"
KT Wiz Suwon,LG Twins,"[2, 8]"
Hanwha Eagles,NC Dinos,"[2, 4]"
Kiwoom Heroes,Samsung Lions,"[10, 3]"
Doosan Bears,KIA Tigers,"[9, 8]"
Lotte Giants,SSG Landers,"[1, 5]"
Kiwoom Heroes,Samsung Lions,"[1, 7]"
Doosan Bears,KIA Tigers,"[2, 8]"
Hanwha Eagles,NC Dinos,"[3, 3]"
KT Wiz Suwon,LG Twins,"[11, 2]"
Lotte Giants,SSG Landers,"[5, 3]"
Samsung Lions,LG Twins,"[6, 4]"
SSG Landers,KIA Tigers,"[7, 6]"
NC Dinos,KT Wiz Suwon,"[8, 6]"
