home,away,ft
Hershey Bears,Laval Rocket,"[5, 3]"
Rochester Americans,Cleveland Monsters,"[4, 5]"
Charlotte Checkers,Iowa Wild,"[5, 3]"
Springfield Thunderbirds,Utica Comets,"[2, 3]"
Cleveland Monsters,Toronto Marlies,"[2, 0]"
Wilkes-Barre/Scranton,Laval Rocket,"[5, 3]"
Rochester Americans,Syracuse Crunch,"[3, 0]"
Manitoba Moose,Calgary Wranglers,"[1, 6]"
Rockford IceHogs,Chicago Wolves,"[3, 5]"
Colorado Eagles,Henderson Silver Knights,"[5, 2]"
Ontario Reign,Texas Stars,"[4, 0]"
San Jose Barracuda,Abbotsford Canucks,"[5, 3]"
Charlotte Checkers,Iowa Wild,"[3, 0]"
Springfield Thunderbirds,Hartford Wolf Pack,"[4, 1]"
Colorado Eagles,Henderson Silver Knights,"[6, 1]"
Bridgeport Islanders,Belleville Senators,"[0, 2]"
Hershey Bears,Wilkes-Barre/Scranton,"[4, 5]"
Lehigh Valley Phantoms,Laval Rocket,"[4, 3]"
Providence Bruins,Utica Comets,"[0, 3]"
Chicago Wolves,Grand Rapids Griffins,"[5, 2]"
San Jose Barracuda,Abbotsford Canucks,"[7, 4]"
San Diego Gulls,Tucson Roadrunners,"[0, 3]"
Bakersfield Condors,Ontario Reign,"[1, 3]"
Bridgeport Islanders,Belleville Senators,"[2, 3]"
Manitoba Moose,Calgary Wranglers,"[2, 3]"
Providence Bruins,Springfield Thunderbirds,"[2, 3]"
Chicago Wolves,Rockford IceHogs,"[3, 6]"
Grand Rapids Griffins,Cleveland Monsters,"[6, 4]"
Milwaukee Admirals,Cleveland Monsters,"[4, 1]"
Coachella Valley Firebirds,Henderson Silver Knights,"[3, 4]"
Ontario Reign,Texas Stars,"[3, 5]"
Bridgeport Islanders,Hartford Wolf Pack,"[1, 6]"
Lehigh Valley Phantoms,Rockford IceHogs,"[3, 7]"
Rochester Americans,Utica Comets,"[3, 2]"
Wilkes-Barre/Scranton,Hershey Bears,"[1, 6]"
Coachella Valley Firebirds,Texas Stars,"[6, 4]"
Charlotte Checkers,Rochester Americans,"[6, 0]"
Grand Rapids Griffins,Chicago Wolves,"[1, 3]"
Hartford Wolf Pack,Rockford IceHogs,"[4, 0]"
Utica Comets,Providence Bruins,"[2, 3]"
Manitoba Moose,Belleville Senators,"[3, 6]"
Calgary Wranglers,Tucson Roadrunners,"[4, 2]"
San Diego Gulls,Bakersfield Condors,"[5, 3]"
Laval Rocket,Toronto Marlies,"[5, 4]"
Charlotte Checkers,Rochester Americans,"[0, 3]"
Hartford Wolf Pack,Wilkes-Barre/Scranton,"[2, 6]"
Iowa Wild,Milwaukee Admirals,"[5, 2]"
Providence Bruins,Bridgeport Islanders,"[6, 3]"
Calgary Wranglers,Tucson Roadrunners,"[6, 3]"
Henderson Silver Knights,Texas Stars,"[6, 2]"
San Jose Barracuda,Coachella Valley Firebirds,"[1, 0]"
Abbotsford Canucks,Colorado Eagles,"[6, 1]"
Providence Bruins,Wilkes-Barre/Scranton,"[5, 0]"
Iowa Wild,Milwaukee Admirals,"[4, 1]"
Chicago Wolves,Grand Rapids Griffins,"[2, 1]"
Hershey Bears,Lehigh Valley Phantoms,"[5, 4]"
Ontario Reign,Bakersfield Condors,"[5, 3]"
San Jose Barracuda,Coachella Valley Firebirds,"[2, 1]"
Abbotsford Canucks,Colorado Eagles,"[5, 2]"
Henderson Silver Knights,Texas Stars,"[2, 4]"
Toronto Marlies,Lehigh Valley Phantoms,"[6, 3]"
Calgary Wranglers,Manitoba Moose,"[6, 1]"
Laval Rocket,Rochester Americans,"[1, 3]"
Belleville Senators,Syracuse Crunch,"[2, 1]"
Hartford Wolf Pack,Hershey Bears,"[3, 0]"
Bridgeport Islanders,Providence Bruins,"[2, 4]"
Wilkes-Barre/Scranton,Charlotte Checkers,"[6, 4]"
Iowa Wild,Rockford IceHogs,"[5, 0]"
Calgary Wranglers,Manitoba Moose,"[6, 3]"
San Diego Gulls,Henderson Silver Knights,"[5, 4]"
Cleveland Monsters,Lehigh Valley Phantoms,"[3, 2]"
Belleville Senators,Rochester Americans,"[4, 7]"
Providence Bruins,Bridgeport Islanders,"[5, 3]"
Wilkes-Barre/Scranton,Charlotte Checkers,"[0, 4]"
Milwaukee Admirals,Iowa Wild,"[4, 2]"
Tucson Roadrunners,Henderson Silver Knights,"[4, 2]"
Colorado Eagles,Grand Rapids Griffins,"[4, 2]"
Hartford Wolf Pack,Laval Rocket,"[4, 2]"
Syracuse Crunch,Utica Comets,"[1, 0]"
Belleville Senators,Rochester Americans,"[2, 8]"
Hershey Bears,Charlotte Checkers,"[1, 2]"
Rockford IceHogs,Iowa Wild,"[5, 1]"
Texas Stars,Chicago Wolves,"[3, 4]"
Coachella Valley Firebirds,Calgary Wranglers,"[3, 1]"
San Diego Gulls,San Jose Barracuda,"[5, 2]"
Tucson Roadrunners,Henderson Silver Knights,"[3, 0]"
Abbotsford Canucks,Manitoba Moose,"[3, 0]"
Bridgeport Islanders,Laval Rocket,"[2, 6]"
Toronto Marlies,Bakersfield Condors,"[2, 3]"
Providence Bruins,Hartford Wolf Pack,"[5, 2]"
Coachella Valley Firebirds,Calgary Wranglers,"[4, 2]"
Abbotsford Canucks,Manitoba Moose,"[4, 0]"
Tucson Roadrunners,San Diego Gulls,"[2, 0]"
Iowa Wild,Rockford IceHogs,"[5, 1]"
Texas Stars,Grand Rapids Griffins,"[2, 4]"
