home,away,ft
Knoxville Ice Bears,Roanoke Dawgs,"[1, 3]"
Evansville Thunderbolts,Birmingham Bulls,"[1, 2]"
Knoxville Ice Bears,Roanoke Dawgs,"[1, 4]"
Fayetteville Marksmen,Birmingham Bulls,"[2, 4]"
Roanoke Dawgs,Knoxville Ice Bears,"[0, 2]"
Evansville Thunderbolts,Huntsville Havoc,"[2, 0]"
Quad City Storm,Peoria Rivermen,"[1, 3]"
Roanoke Dawgs,Knoxville Ice Bears,"[2, 6]"
Birmingham Bulls,Fayetteville Marksmen,"[3, 2]"
Huntsville Havoc,Evansville Thunderbolts,"[3, 4]"
Knoxville Ice Bears,Birmingham Bulls,"[2, 4]"
Peoria Rivermen,Evansville Thunderbolts,"[0, 2]"
Evansville Thunderbolts,Peoria Rivermen,"[3, 1]"
Birmingham Bulls,Knoxville Ice Bears,"[1, 5]"
Birmingham Bulls,Knoxville Ice Bears,"[2, 4]"
