home,away,ft
Paris Saint Germain,Le Havre,"[2, 1]"
Monaco,Strasbourg,"[0, 0]"
Marseille,Montpellier,"[5, 1]"
Lille,Auxerre,"[3, 1]"
Nice,Angers,"[2, 1]"
Reims,Toulouse,"[1, 0]"
Stade Brestois 29,Lens,"[1, 3]"
Saint Etienne,Lyon,"[2, 1]"
Nantes,Paris Saint Germain,"[1, 1]"
Paris Saint Germain,Nice,"[1, 3]"
Strasbourg,Saint Etienne,"[3, 1]"
Le Havre,Monaco,"[1, 1]"
Lyon,Rennes,"[4, 1]"
Angers,Lille,"[0, 2]"
Montpellier,Reims,"[0, 0]"
Nantes,Toulouse,"[0, 0]"
Lens,Auxerre,"[0, 4]"
Marseille,Stade Brestois 29,"[4, 1]"
Nice,Reims,"[1, 0]"
Strasbourg,Paris Saint Germain,"[2, 1]"
Toulouse,Rennes,"[2, 1]"
Saint Etienne,Monaco,"[1, 3]"
Nantes,Angers,"[0, 1]"
Lyon,Lens,"[1, 2]"
Stade Brestois 29,Montpellier,"[1, 0]"
Auxerre,Le Havre,"[1, 2]"
Lille,Marseille,"[1, 1]"
Angers,Strasbourg,"[2, 1]"
Montpellier,Paris Saint Germain,"[1, 4]"
Monaco,Lyon,"[2, 0]"
Reims,Saint Etienne,"[0, 2]"
Rennes,Nice,"[2, 0]"
Toulouse,Lens,"[1, 1]"
Stade Brestois 29,Lille,"[2, 0]"
Auxerre,Nantes,"[1, 1]"
Le Havre,Marseille,"[1, 3]"
Lille,Reims,"[2, 1]"
Lyon,Angers,"[2, 0]"
Marseille,Rennes,"[4, 2]"
Nantes,Montpellier,"[3, 0]"
Nice,Stade Brestois 29,"[6, 0]"
Paris Saint Germain,Auxerre,"[3, 1]"
Strasbourg,Le Havre,"[2, 3]"
Lens,Monaco,"[4, 0]"
Saint Etienne,Toulouse,"[2, 3]"
Metz,Reims,"[1, 1]"
